                       precision    recall  f1-score   support

           air hockey       1.00      0.80      0.89         5
      ampute football       1.00      1.00      1.00         5
              archery       1.00      0.80      0.89         5
        arm wrestling       1.00      1.00      1.00         5
         axe throwing       0.80      0.80      0.80         5
         balance beam       0.83      1.00      0.91         5
        barell racing       1.00      0.80      0.89         5
             baseball       0.80      0.80      0.80         5
           basketball       1.00      1.00      1.00         5
       baton twirling       1.00      0.80      0.89         5
            bike polo       0.80      0.80      0.80         5
            billiards       1.00      1.00      1.00         5
                  bmx       1.00      1.00      1.00         5
              bobsled       0.75      0.60      0.67         5
              bowling       0.83      1.00      0.91         5
               boxing       1.00      1.00      1.00         5
          bull riding       0.62      1.00      0.77         5
       bungee jumping       0.83      1.00      0.91         5
         canoe slamon       1.00      1.00      1.00         5
         cheerleading       0.71      1.00      0.83         5
    chuckwagon racing       1.00      1.00      1.00         5
              cricket       1.00      1.00      1.00         5
              croquet       1.00      1.00      1.00         5
              curling       1.00      1.00      1.00         5
            disc golf       1.00      1.00      1.00         5
              fencing       1.00      0.80      0.89         5
         field hockey       0.83      1.00      0.91         5
   figure skating men       1.00      0.40      0.57         5
 figure skating pairs       0.62      1.00      0.77         5
 figure skating women       0.83      1.00      0.91         5
          fly fishing       1.00      1.00      1.00         5
             football       1.00      1.00      1.00         5
     formula 1 racing       1.00      1.00      1.00         5
              frisbee       0.60      0.60      0.60         5
                 gaga       1.00      1.00      1.00         5
         giant slalom       1.00      0.80      0.89         5
                 golf       1.00      1.00      1.00         5
         hammer throw       1.00      1.00      1.00         5
         hang gliding       1.00      1.00      1.00         5
       harness racing       1.00      1.00      1.00         5
            high jump       1.00      1.00      1.00         5
               hockey       1.00      1.00      1.00         5
        horse jumping       1.00      0.60      0.75         5
         horse racing       0.83      1.00      0.91         5
   horseshoe pitching       1.00      0.80      0.89         5
              hurdles       0.83      1.00      0.91         5
    hydroplane racing       1.00      0.80      0.89         5
         ice climbing       1.00      1.00      1.00         5
         ice yachting       1.00      1.00      1.00         5
             jai alai       1.00      1.00      1.00         5
              javelin       0.71      1.00      0.83         5
             jousting       1.00      1.00      1.00         5
                 judo       0.83      1.00      0.91         5
             lacrosse       1.00      1.00      1.00         5
          log rolling       1.00      1.00      1.00         5
                 luge       1.00      1.00      1.00         5
    motorcycle racing       0.83      1.00      0.91         5
              mushing       1.00      0.80      0.89         5
        nascar racing       1.00      1.00      1.00         5
    olympic wrestling       1.00      1.00      1.00         5
         parallel bar       1.00      0.60      0.75         5
        pole climbing       1.00      0.80      0.89         5
         pole dancing       0.71      1.00      0.83         5
           pole vault       0.75      0.60      0.67         5
                 polo       1.00      1.00      1.00         5
         pommel horse       1.00      0.80      0.89         5
                rings       1.00      0.80      0.89         5
        rock climbing       1.00      1.00      1.00         5
         roller derby       1.00      0.80      0.89         5
   rollerblade racing       0.71      1.00      0.83         5
               rowing       1.00      0.80      0.89         5
                rugby       1.00      1.00      1.00         5
      sailboat racing       0.83      1.00      0.91         5
             shot put       1.00      0.80      0.89         5
         shuffleboard       1.00      0.80      0.89         5
       sidecar racing       1.00      0.80      0.89         5
          ski jumping       1.00      0.80      0.89         5
          sky surfing       1.00      0.80      0.89         5
            skydiving       1.00      1.00      1.00         5
        snow boarding       0.57      0.80      0.67         5
    snowmobile racing       0.83      1.00      0.91         5
        speed skating       1.00      1.00      1.00         5
      steer wrestling       1.00      0.60      0.75         5
       sumo wrestling       1.00      1.00      1.00         5
              surfing       1.00      1.00      1.00         5
             swimming       1.00      1.00      1.00         5
         table tennis       0.71      1.00      0.83         5
               tennis       0.75      0.60      0.67         5
        track bicycle       1.00      1.00      1.00         5
              trapeze       1.00      0.80      0.89         5
           tug of war       1.00      1.00      1.00         5
             ultimate       0.75      0.60      0.67         5
          uneven bars       0.62      1.00      0.77         5
           volleyball       0.71      1.00      0.83         5
        water cycling       1.00      1.00      1.00         5
           water polo       1.00      1.00      1.00         5
        weightlifting       1.00      0.80      0.89         5
wheelchair basketball       1.00      1.00      1.00         5
    wheelchair racing       1.00      0.80      0.89         5
      wingsuit flying       0.83      1.00      0.91         5

             accuracy                           0.91       500
            macro avg       0.93      0.91      0.91       500
         weighted avg       0.93      0.91      0.91       500
